sample	hom_min	hom_max	hom_mid	het_min	het_max	het_mid	haploid_len_min_mb	haploid_len_max_mb	haploid_len_mid_mb	model_fit_min	model_fit_max	error_rate	inferred_ploidy
NCO1	92.1835	94.672	93.43	5.32805	7.81648	6.57	685.8	705.2	695.5	25.6109	80.8817	0.863447	diploid
NCO2	95.3404	96.3	95.82	3.70003	4.65958	4.18	180.8	190.1	185.4	24.0674	84.306	2.35227	check_p4
NCO3	98.5592	100	99.28	0	1.44084	0.72	0.0	0.0	0.0	-104.807	-104.807	24.5077	check_p4
NCO4	93.5374	95.0624	94.30	4.93758	6.46256	5.70	630.9	654.5	642.7	23.4578	78.8938	1.25974	diploid
ND2	93.2253	94.9344	94.08	5.06564	6.77474	5.92	635.5	657.2	646.4	24.0338	79.7581	1.2992	diploid
ND3	94.067	95.302	94.68	4.69796	5.93297	5.32	501.1	520.5	510.8	23.7905	81.6078	1.53817	diploid
NEOP1	91.375	94.5873	92.98	5.41274	8.62501	7.02	771.8	794.2	783.0	27.9362	79.6058	0.986819	diploid
NEW1	93.6428	95.0761	94.36	4.92393	6.35719	5.64	553.2	572.2	562.7	24.6295	80.4886	1.2962	diploid
NNM1	93.0796	94.889	93.98	5.11098	6.92038	6.02	692.5	715.9	704.2	24.672	78.2154	1.12655	diploid
NNM2	91.7945	94.5947	93.19	5.4053	8.20549	6.81	739.5	760.0	749.8	25.5976	79.4935	0.817049	diploid
NNM3	94.0182	95.2907	94.65	4.70927	5.98183	5.35	562.3	585.0	573.6	23.2242	80.0933	1.31	diploid
NORD1	94.5091	95.549	95.03	4.45104	5.49092	4.97	389.3	405.5	397.4	24.6169	82.8941	1.86746	check_p4
NUG1	90.9414	94.6801	92.81	5.31993	9.05864	7.19	943.2	970.7	957.0	28.994	82.4905	0.879378	diploid
NWY1	94.4896	95.5488	95.02	4.45116	5.51041	4.98	449.5	468.7	459.1	23.4313	82.486	1.66819	diploid
OLYM1	95.4519	96.3998	95.93	3.60024	4.54812	4.07	90.2	94.6	92.4	26.7037	86.5397	2.76563	check_p4
ORC1	91.9212	94.6252	93.27	5.37484	8.07876	6.73	725.2	747.1	736.1	28.13	79.6262	1.07766	diploid
ORION1	94.1777	95.3569	94.77	4.64313	5.82228	5.23	479.9	499.3	489.6	24.8	81.3099	1.56721	diploid
OSC114	92.3789	94.6744	93.53	5.32563	7.62111	6.47	685.3	706.7	696.0	27.3432	78.8176	1.18713	diploid
OSC72	94.5715	95.59	95.08	4.40999	5.42847	4.92	398.4	415.3	406.9	24.0054	83.3053	1.83068	diploid
	MISSING
PDB1	92.0689	94.6439	93.36	5.35605	7.93113	6.64	671.8	692.6	682.2	27.2807	79.7491	1.12676	diploid
PERL1	91.4882	94.5936	93.04	5.40636	8.51182	6.96	817.5	840.7	829.1	28.3012	79.9663	1.00825	diploid
PIA29	92.6846	94.7381	93.71	5.2619	7.31541	6.29	694.6	715.7	705.2	25.5882	79.0333	0.958392	diploid
